PS C:\dev\mystimath\conjectura\magic-square-of-squares-3x3> python src/search_non_square_center_v2.py --max-root 10000
Profil B2-1
  cible      : racines extérieures <= 50,000
  objectif   : Dépasser proprement la borne 20 000.
  arrêt      : Stop si mur mémoire persistant après réécriture raisonnable.
Recherche B2 — centre non nécessairement carré
  max-root           : 10,000
  center-block-size  : 200,000
  moduli             : [8, 3, 5, 7, 11]
  primitive-only     : False
  distinct-roots     : False
  out                : (aucune sortie CSV)
  [ 2387.5s] centers=3,463,702  results=0  rate=1,451 centers/s
  [ 2414.3s] centers=3,501,370  results=0  rate=1,450 centers/s
  [ 2441.1s] centers=3,538,998  results=0  rate=1,450 centers/s
  [ 2467.9s] centers=3,576,648  results=0  rate=1,449 centers/s
  [ 2494.6s] centers=3,614,229  results=0  rate=1,449 centers/s
  [ 2521.4s] centers=3,651,874  results=0  rate=1,448 centers/s
  [ 2548.2s] centers=3,689,444  results=0  rate=1,448 centers/s
  [ 2575.1s] centers=3,727,008  results=0  rate=1,447 centers/s
  [ 2601.7s] centers=3,764,568  results=0  rate=1,447 centers/s
  [ 2628.5s] centers=3,802,131  results=0  rate=1,447 centers/s
  [ 2655.2s] centers=3,839,676  results=0  rate=1,446 centers/s
  [ 2682.0s] centers=3,877,200  results=0  rate=1,446 centers/s
  [ 2708.8s] centers=3,914,730  results=0  rate=1,445 centers/s
  [ 2735.3s] centers=3,952,216  results=0  rate=1,445 centers/s
  [ 2762.4s] centers=3,989,696  results=0  rate=1,444 centers/s
  [ 2789.1s] centers=4,027,187  results=0  rate=1,444 centers/s
  [ 2816.0s] centers=4,064,651  results=0  rate=1,443 centers/s
  [ 2842.8s] centers=4,102,110  results=0  rate=1,443 centers/s
  [ 2869.8s] centers=4,139,558  results=0  rate=1,442 centers/s
  [ 2896.7s] centers=4,176,992  results=0  rate=1,442 centers/s
  [ 2923.5s] centers=4,214,441  results=0  rate=1,442 centers/s
  [ 2950.2s] centers=4,251,871  results=0  rate=1,441 centers/s
  [ 2977.0s] centers=4,289,277  results=0  rate=1,441 centers/s
  [ 3004.1s] centers=4,326,662  results=0  rate=1,440 centers/s
  [ 3031.6s] centers=4,364,076  results=0  rate=1,440 centers/s
  [ 3058.5s] centers=4,401,456  results=0  rate=1,439 centers/s
  [ 3085.3s] centers=4,438,805  results=0  rate=1,439 centers/s
  [ 3112.0s] centers=4,476,180  results=0  rate=1,438 centers/s
  [ 3138.9s] centers=4,513,562  results=0  rate=1,438 centers/s
  [ 3165.7s] centers=4,550,890  results=0  rate=1,438 centers/s
  [ 3192.5s] centers=4,588,218  results=0  rate=1,437 centers/s
  [ 3219.3s] centers=4,625,517  results=0  rate=1,437 centers/s
  [ 3245.9s] centers=4,662,857  results=0  rate=1,437 centers/s
  [ 3272.8s] centers=4,700,167  results=0  rate=1,436 centers/s
  [ 3299.3s] centers=4,737,494  results=0  rate=1,436 centers/s
  [ 3325.9s] centers=4,774,751  results=0  rate=1,436 centers/s
  [ 3352.5s] centers=4,812,026  results=0  rate=1,435 centers/s
  [ 3379.1s] centers=4,849,285  results=0  rate=1,435 centers/s
  [ 3405.9s] centers=4,886,575  results=0  rate=1,435 centers/s
  [ 3432.8s] centers=4,923,842  results=0  rate=1,434 centers/s
  [ 3459.5s] centers=4,961,080  results=0  rate=1,434 centers/s
  [ 3486.3s] centers=4,998,266  results=0  rate=1,434 centers/s
  [ 3513.0s] centers=5,035,472  results=0  rate=1,433 centers/s
  [ 3539.9s] centers=5,072,725  results=0  rate=1,433 centers/s
  [ 3566.6s] centers=5,109,909  results=0  rate=1,433 centers/s
  [ 3593.5s] centers=5,147,112  results=0  rate=1,432 centers/s
  [ 3620.3s] centers=5,184,313  results=0  rate=1,432 centers/s
  [ 3647.1s] centers=5,221,519  results=0  rate=1,432 centers/s
  [ 3673.8s] centers=5,258,688  results=0  rate=1,431 centers/s
  [ 3700.6s] centers=5,295,866  results=0  rate=1,431 centers/s
  [ 3727.4s] centers=5,333,036  results=0  rate=1,431 centers/s
  [ 3754.2s] centers=5,370,185  results=0  rate=1,430 centers/s
  [ 3781.1s] centers=5,407,323  results=0  rate=1,430 centers/s
  [ 3807.9s] centers=5,444,450  results=0  rate=1,430 centers/s
  [ 3834.6s] centers=5,481,598  results=0  rate=1,430 centers/s
  [ 3861.4s] centers=5,518,718  results=0  rate=1,429 centers/s
  [ 3888.1s] centers=5,555,856  results=0  rate=1,429 centers/s
  [ 3914.7s] centers=5,592,943  results=0  rate=1,429 centers/s
  [ 3941.5s] centers=5,630,069  results=0  rate=1,428 centers/s
  [ 3968.2s] centers=5,667,144  results=0  rate=1,428 centers/s
  [ 3995.1s] centers=5,704,191  results=0  rate=1,428 centers/s
  [ 4021.9s] centers=5,741,266  results=0  rate=1,427 centers/s
  [ 4048.8s] centers=5,778,344  results=0  rate=1,427 centers/s
  [ 4075.6s] centers=5,815,415  results=0  rate=1,427 centers/s
  [ 4102.4s] centers=5,852,494  results=0  rate=1,427 centers/s
  [ 4129.1s] centers=5,889,544  results=0  rate=1,426 centers/s
  [ 4155.8s] centers=5,926,553  results=0  rate=1,426 centers/s
  [ 4182.6s] centers=5,963,558  results=0  rate=1,426 centers/s
  [ 4209.2s] centers=6,000,568  results=0  rate=1,426 centers/s
