total_carres,bonus_carres,A,E,J,q,b(r+q),i(r-q),top(r+p+q),edge(r+p-q),edge(r-p+q),bottom(r-p-q)
7,4,205,425,565,41496,222121,139129,360721,277729,83521,529
7,4,410,850,1130,165984,888484,556516,1442884,1110916,334084,2116
