count_bonus_carres,E,A,C,J,H,a,b,c,d,e,f,h,i,j
1,8125,5525,6607,10075,9401,30525625,123868801,43652449,79142449,66015625,52888801,88378801,8162449,101505625
1,8425,4685,7565,10955,9205,21949225,133763425,57229225,106260625,70980625,35700625,84732025,8197825,120012025
1,8450,4550,7130,11050,9590,20702500,142668100,50836900,101536900,71402500,41268100,91968100,136900,122102500
1,8500,6580,7324,10060,9532,43296400,119812624,53640976,82594576,72250000,61905424,90859024,24687376,101203600
1,8650,1990,8462,12070,8834,3960100,148901956,71605444,142467844,74822500,7177156,78039556,743044,145684900
1,8670,3570,8202,11730,9114,12744900,145488996,67272804,129696804,75168900,20640996,83064996,4848804,137592900
1,8840,6472,7960,10696,9640,41886784,129188416,63361600,99620416,78145600,56670784,92929600,27102784,114404416
1,8845,3973,8711,11861,8977,15784729,143035825,75881521,138330817,78234025,18137233,80586529,13432225,140683321
1,8905,5845,7321,11155,10247,34164025,150136009,53597041,98732041,79299025,59866009,105001009,8462041,124434025
1,9010,3290,8390,12310,9590,10824100,162324100,70392100,140748100,81180100,21612100,91968100,36100,151536100
1,9010,4346,8390,11978,9590,18887716,154260484,70392100,132684484,81180100,29675716,91968100,8099716,143472484
1,9295,5005,7843,12155,10549,25050025,172628401,61512649,122859649,86397025,49934401,111281401,165649,147744025
1,9425,6485,7735,11645,10855,42055225,164606425,59830225,106605625,88830625,71055625,117831025,13054825,135606025
1,9605,5645,8245,12355,10795,31866025,176922025,67980025,128370025,92256025,56142025,116532025,7590025,152646025
1,9620,6956,7492,11692,11356,48385936,173117200,56130064,100288528,92544400,84800272,128958736,11971600,136702864
1,9750,3450,9402,13350,10086,11902500,184887396,88397604,171557604,95062500,18567396,101727396,5237604,178222500
1,9911,3619,9229,13541,10549,13097161,196412161,85174441,170305201,98227921,26150641,111281401,43681,183358681
1,9945,7281,8955,12033,10845,53012961,163504089,80192025,126082089,98903025,71723961,117614025,34301961,144793089
1,10110,5622,9078,13146,11046,31606884,192619332,82410084,153015300,102212100,51408900,122014116,11804868,172817316
1,10115,4165,9569,13685,10633,17347225,198026689,91565761,176531761,102313225,28094689,113060689,6599761,187279225
1,10140,5460,8556,13260,11508,29811600,205442064,73205136,146213136,102819600,59426064,132434064,197136,175827600
1,10625,8225,9155,12575,11915,67650625,187207225,83814025,129054025,112890625,96727225,141967225,38574025,158130625
1,10812,3948,10068,14772,11508,15586704,233746704,101364624,202677264,116899344,31121424,132434064,51984,218211984
1,10865,8215,9127,12985,12361,67486225,203356321,83302129,133864129,118048225,102232321,152794321,32740129,168610225
1,10985,5915,9269,14365,12467,34987225,241109089,85914361,171597361,120670225,69743089,155426089,231361,206353225
1,11050,8090,9950,13370,12050,65448100,201856900,99002500,155656900,122102500,88548100,145202500,42348100,178756900
1,11237,2777,11023,15647,11447,7711729,249592249,121506529,240064969,126270169,12475369,131033809,2948089,244828609
1,11258,6838,10642,14378,11842,46758244,220217284,113252164,193236484,126742564,60248644,140232964,33267844,206726884
1,11285,7259,9485,14213,12835,52693081,239395369,89965225,164623369,127351225,90079081,164737225,15307081,202009369
1,11310,7782,9282,13974,13026,60559524,237033252,86155524,153512100,127916100,102320100,169676676,18798948,195272676
1,11375,4025,10969,15575,11767,16200625,251652289,120318961,233508961,129390625,25272289,138462289,7128961,242580625
1,11526,6774,9894,14826,12954,45887076,254767716,97891236,184852836,132848676,80844516,167806116,10929636,219810276
1,11560,4760,10936,15640,12152,22657600,258647104,119596096,230572096,133633600,36695104,147671104,8620096,244609600
1,11713,4277,10907,16003,12467,18292729,274327729,118962649,237864289,137194369,36524449,155426089,61009,256096009
1,11795,6559,10591,15337,12887,43020481,262176313,112169281,208270825,139122025,69973225,166074769,16067737,235223569
1,11830,6370,9982,15470,13426,40576900,279629476,99640324,199012324,139948900,80885476,180257476,268324,239320900
1,11890,5974,11218,15718,12526,35688676,262584100,125843524,231526948,141372100,51217252,156900676,20160100,247055524
1,12025,8695,9365,14615,14195,75603025,270495625,87703225,156700825,144600625,132500425,201498025,18705625,213598225
1,12155,8899,10945,14707,13255,79192201,244246849,119793025,188344849,147744025,107143201,175695025,51241201,216295849
1,12337,6643,11417,16133,13193,44129449,282127369,130347889,238420009,152201569,65983129,174055249,22275769,260273689
1,12614,4606,11746,17234,13426,21215236,318155236,137968516,275866276,159112996,42359716,180257476,70756,297010756
1,12675,6825,10695,16575,14385,46580625,321003225,114383025,228458025,160655625,92853225,206928225,308025,274730625
1,12750,9870,10986,15090,14298,97416900,269578404,120692196,185837796,162562500,139287204,204432804,55546596,227708100
1,12818,6562,11822,16898,13742,43059844,310083844,139759684,261000964,164301124,67601284,188842564,18518404,285542404
1,12975,2985,12693,18105,13251,8910225,335029401,161112249,320552649,168350625,16148601,175589001,1671849,327791025
1,13000,4600,12536,17800,13448,21160000,328688704,157151296,304991296,169000000,33008704,180848704,9311296,316840000
1,13005,5355,12303,17595,13671,28676025,327350241,151363809,291817809,169130025,46442241,186896241,10909809,309584025
1,13130,8114,10330,16702,15430,65836996,344644804,106708900,213268804,172396900,131524996,238084900,148996,278956804
1,13195,9079,10829,16303,15197,82428241,322628593,117267241,208947025,174108025,139269025,230948809,25587457,265787809
1,13260,9708,11940,16044,14460,94245264,290673936,142563600,224145936,175827600,127509264,209091600,60981264,257409936
1,13345,5155,12359,18155,14263,26574025,354948169,152744881,304259881,178089025,51918169,203433169,1229881,329604025
1,13447,7903,11543,17297,15113,62457409,346767169,133240849,251605249,180821809,110038369,228402769,14876449,299186209
1,13480,7496,12104,17528,14728,56190016,342434368,146506816,272027200,181710400,91393600,216913984,20986432,307230784
1,13515,4935,12585,18465,14385,24354225,365229225,158382225,316683225,182655225,48627225,206928225,81225,340956225
1,13515,6519,12585,17967,14385,42497361,347086089,158382225,298540089,182655225,66770361,206928225,18224361,322813089
1,13520,7280,11408,17680,15344,52998400,365230336,130142464,259934464,182790400,105646336,235438336,350464,312582400
1,13625,9005,10271,17035,16303,81090025,370338409,105493441,210044041,185640625,161237209,265787809,942841,290191225
1,14186,9266,12946,17794,15326,85858756,350270116,167598916,282982756,201242596,119502436,234886276,52215076,316626436
1,14365,7735,12121,18785,16303,59830225,412310809,146918641,293441641,206353225,119264809,265787809,395641,352876225
1,14365,10517,12935,17381,15665,110607289,341138161,167314225,263060161,206353225,149646289,245392225,71568289,302099161
1,14416,5264,13424,19696,15344,27709696,415549696,180203776,360315136,207821056,55326976,235438336,92416,387932416
1,14430,10434,11238,17538,17034,108868356,389513700,126292644,225649188,208224900,190800612,290157156,26936100,307581444
1,14450,5950,13670,19550,15190,35402500,404136100,186868900,360268900,208802500,57336100,230736100,13468900,382202500
1,14625,5175,14103,20025,15129,26780625,415996641,198894609,386004609,213890625,41776641,228886641,11784609,401000625
1,14875,11515,12817,17605,16681,132595225,366926161,164275489,252945889,221265625,189585361,278255761,75605089,309936025
1,15080,10376,12376,18632,17368,107661376,421392448,153165376,272910400,227406400,181902400,301647424,33420352,347151424
1,15145,6851,14005,20293,16205,46936201,445036849,196140025,378574849,229371025,80167201,262602025,13705201,411805849
1,15165,8433,13617,19719,16569,71115489,433393497,185422689,344284425,229977225,115670025,274531761,26560953,388838961
1,15170,9758,13430,19106,16730,95218564,414803236,180364900,315275236,230128900,144982564,279892900,45454564,365039236
1,15210,8190,12834,19890,17262,67076100,462244644,164711556,328979556,231344100,133708644,297976644,443556,395612100
